season,index,celebrity_name,case_avg_adci_actual,season_other_avg_adci_actual,case_avg_adci_rule1,season_other_avg_adci_rule1,case_avg_adci_rule2,season_other_avg_adci_rule2,case_avg_adci_rule4,season_other_avg_adci_rule4
2,11,Jerry Rice,39.95464604294999,20.226770992131318,41.53971228665402,22.66818608015037,39.95464604294999,21.803216763230186,39.95464604294999,21.803216763230186
4,35,Billy Ray Cyrus,33.450880540160135,21.085506011724604,35.6840339152381,22.902498957410085,33.92375377579542,22.008095217592206,33.450880540160135,21.998239029518405
11,126,Bristol Palin,40.66557654816128,19.033778253376397,48.76304429259348,21.936770897926994,46.90235120653983,18.963698792752727,46.90235120653983,22.046694128772977
27,318,Bobby Bones,29.921433457003786,21.080510582314187,31.108465725665365,21.921025228877905,29.921433457003786,21.084565966042753,29.921433457003786,21.084565966042753
