season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
1,Week_1,John O'Hurley,0.1184579512260582,0.07130048656697072,0.26823551622669095,0.04946461055477469,-0.0567442077406119,0.3302760756714392
1,Week_1,Kelly Monaco,0.0771015748124231,0.06707068028439804,0.2781352206274561,0.05688146635287741,-0.0938035551977734,0.3840701407796422
1,Week_1,Evander Holyfield,0.1909830299714845,0.07043944173337222,0.3634881721870903,0.07816504213505891,0.1292751882944629,0.478289007843001
1,Week_1,Rachel Hunter,0.1409071254220969,0.07712137463079186,0.2856686289160001,0.05315257939855652,-0.0214433222686103,0.3282425993018172
1,Week_1,Joey McIntyre,0.2993089930336052,0.06311637601972943,0.36831553222484165,0.07947599880121434,0.0051181682680739,0.4983554389985528
1,Week_1,Trista Sutter,0.1732413255343319,0.07470296384491662,0.3390521995165573,0.07025293472830894,0.0545278539131563,0.4235049203912349
1,Week_2,John O'Hurley,0.1329170886702121,0.07522955177627301,0.262098982524569,0.04881461591070073,-0.0567442077406119,0.3302760756714392
1,Week_2,Kelly Monaco,0.0912610579882813,0.06717388624352184,0.27611226989663407,0.05472654373996701,-0.0938035551977734,0.3840701407796422
1,Week_2,Evander Holyfield,0.2823762201930276,0.07455608964037397,0.37132206149056435,0.07748443954343787,0.1292751882944629,0.478289007843001
1,Week_2,Rachel Hunter,0.1631830091426709,0.08132176908129887,0.27185461438487674,0.05021759002110465,-0.0214433222686103,0.3282425993018172
1,Week_2,Joey McIntyre,0.1792544109779302,0.05858473644363468,0.3512621598318138,0.07554297704689993,0.0051181682680739,0.4983554389985528
1,Week_2,Trista Sutter,0.1510082130278777,0.07639213202738164,0.3301150460766588,0.0651587111274155,0.0545278539131563,0.4235049203912349
1,Week_3,John O'Hurley,0.0861674886068752,0.09073150278714308,0.31740554024502826,0.05793884691926705,-0.0567442077406119,0.3302760756714392
1,Week_3,Kelly Monaco,0.2278236665248737,0.08251808931279264,0.3185303954557087,0.0627765172079229,-0.0938035551977734,0.3840701407796422
1,Week_3,Evander Holyfield,0.2531105985950787,0.09205971452478649,0.43855513174922445,0.09043918250752385,0.1292751882944629,0.478289007843001
1,Week_3,Rachel Hunter,0.1858489039188889,0.09723216659934428,0.32519658201205487,0.059379227924404615,-0.0214433222686103,0.3282425993018172
1,Week_3,Joey McIntyre,0.2470493423542833,0.07564342842336985,0.3908638147250135,0.08624600570241596,0.0051181682680739,0.4983554389985528
1,Week_4,John O'Hurley,0.1346614477968462,0.12214042094630805,0.4021169871283934,0.07108338748922129,-0.0567442077406119,0.3302760756714392
1,Week_4,Kelly Monaco,0.4171109833828397,0.11095619837232903,0.4159919310310056,0.08195610670189024,-0.0938035551977734,0.3840701407796422
1,Week_4,Rachel Hunter,0.1896026852391587,0.12846798645102148,0.40728822476746596,0.07479048086394079,-0.0214433222686103,0.3282425993018172
1,Week_4,Joey McIntyre,0.2586248835811554,0.10924216062475162,0.5125337925017817,0.10386897184918908,0.0051181682680739,0.4983554389985528
1,Week_5,John O'Hurley,0.3143975612211995,0.15423805078565828,0.5422256709876867,0.0992109460577636,-0.0567442077406119,0.3302760756714392
