season,tau,p_value,match
1,0.8666666666666666,0.016666666666666666,False
2,0.8666666666666666,0.00011518959435626102,False
3,0.8909090909090909,1.3728555395222063e-05,False
4,0.6363636363636364,0.005707170915504249,False
5,0.909090909090909,1.4655483405483405e-06,False
6,0.9393939393939392,3.2150205761316875e-07,False
7,0.9999999999999998,3.2118087673643227e-10,True
8,0.8205128205128204,1.346582943805166e-05,False
9,1.0,9.55895466477477e-14,True
10,0.8181818181818182,0.00013227513227513228,False
11,0.9393939393939392,3.2150205761316875e-07,False
12,0.8909090909090909,1.3728555395222063e-05,False
13,0.8787878787878787,5.319397680508792e-06,False
14,0.8787878787878787,5.319397680508792e-06,False
15,0.8205128205128204,1.346582943805166e-05,False
16,0.8787878787878787,5.319397680508792e-06,False
17,0.8181818181818181,4.4129288920955584e-05,False
18,0.9393939393939392,3.2150205761316875e-07,False
19,0.8205128205128204,1.346582943805166e-05,False
20,0.7272727272727272,0.0004988835110362888,False
21,0.8974358974358972,5.508252036029814e-07,False
22,0.8787878787878787,5.319397680508792e-06,False
23,0.9230769230769229,1.4164076664076665e-07,False
24,0.8181818181818181,4.4129288920955584e-05,False
25,0.8717948717948716,1.8079271551493775e-06,False
26,0.911111111111111,2.9761904761904762e-05,False
27,0.7948717948717947,3.1929233318122206e-05,False
28,0.7878787878787877,0.00010742344075677409,False
29,0.9238095238095239,4.4720613503682285e-09,False
30,0.8857142857142857,5.337720284810232e-08,False
31,0.8833333333333333,1.437179274894222e-08,False
32,0.8461538461538461,1.5144366582858646e-06,False
33,0.8717948717948716,1.8079271551493775e-06,False
34,0.7802197802197802,1.9192943300086156e-05,False
