season,player_index,player_name,predicted_votes,mu,elimination_order
28,0,Kate Flannery,2748.713048497675,1.0111267505262105,5
28,1,James Van Der Beek,958287.1409033716,6.8651451051620205,7
28,2,Kel Mitchell,654378.1635992037,6.483683053746682,10
28,3,Ray Lewis,1.0,-10.001501266118332,1
28,4,Lamar Odom,1.0,-7.140324145006586,2
28,5,Sailor Brinkley-Cook,40.58964964618163,-3.204496642746239,3
28,6,Sean Spicer,22670.44289948464,3.1210592030353164,6
28,7,Mary Wilson,1.0,-17.756955346335996,0
28,8,Lauren Alaina,482229.2377323633,6.178417229961419,8
28,9,Ally Brooke,371875.28882859636,5.918556178701137,9
28,10,Karamo Brown,2392.868324332853,0.872486159236717,4
28,11,Hannah Brown,2106548.429079236,7.6528037198376495,11
29,0,Anne Heche,336.8228778693043,-1.0881980711396564,2
29,1,Jesse Metcalfe,977.218730682222,-0.023044771460471222,3
29,2,Chrishell Stause,1375.5302942522426,0.3188393259304836,7
29,3,Skai Jackson,7942.417191114727,2.072217661675166,10
29,4,Justina Machado,521.1854922553675,-0.6516492687766553,11
29,5,Charles Oakley,81.19127141688838,-2.510947531842537,0
29,6,Veron Davis,734.1759551928039,-0.3090065575091182,4
29,7,Johnny Weir,567.7761486611015,-0.5660280417945924,9
29,8,Nev Schulman,4381.558328747196,1.4774044445475116,13
29,9,AJ McLean,3373.384471817376,1.2159165353218222,8
29,10,Nelly,1540.3804805681798,0.43202945182980607,12
29,11,Kaitlyn Bristowe,2918.4379194800126,1.0710485146722024,14
29,12,Carole Baskin,220.35044993420794,-1.5125360451733618,1
29,13,Monica Aldama,743.5352265070673,-0.2963391342917684,5
29,14,Jeannie Mai,1448.1595688807822,0.37029348801116974,6
30,0,Martin Kove,120.49216649257637,-2.116170533522885,0
30,1,Brian Austin Green,574.103817715706,-0.5549450289144799,2
30,2,Melora Hardin,448.7862656357556,-0.8012085246557485,9
30,3,Matt James,3075.829435144205,1.12357460289482,3
30,4,"Mike ""The Miz"" Mizanin",589.0991699203489,-0.5291607365175313,6
30,5,Suni Lee,5942.813291560848,1.7821826423628244,10
30,6,Iman Shumpert,2437.490706287226,0.8909691140793955,14
30,7,Cody Rigsby,2246.956512808104,0.8095766425725149,12
30,8,Melanie C,304.5782649652954,-1.1888271940554902,4
30,9,Jimmie Allen,872.0527611908894,-0.1369053479486742,8
30,10,Olivia Jade,2019.8149727524167,0.7030059125725139,7
30,11,JoJo Siwa,2331.9365412536577,0.8466990589646498,13
30,12,Christine Chiu,1028.0599932116568,0.027673527487491828,1
30,13,Kenya Moore,445.2735311491545,-0.8090665059105531,5
30,14,Amanda Kloots,953.7080969343831,-0.047397629408849465,11
31,0,Jason Lewis,535.058993190243,-0.6253782782673678,0
31,1,Cheryl Ladd,111.41226446506177,-2.1945178713550595,2
31,2,Selma Blair,621.5621327245476,-0.4755194085721639,4
31,3,Joseph Baena,4429.823600328538,1.4883597561777817,5
31,4,Trevor Donovan,1385.0905679193338,0.3257655217533358,10
31,5,Daniel Durant,2346.7859461819407,0.8530467018014481,11
31,6,Wayne Brady,640.1643987571225,-0.44603027030417214,13
31,7,Sam Champion,222.26628514407938,-1.5038791410309436,3
31,8,Jessie James Decker,442.8918649536862,-0.8144296436510945,6
31,9,Jordin Sparks,728.1883588973448,-0.3171955372499353,7
31,10,Heidi D'Amelio,1391.914590678367,0.3306801950109841,8
31,11,Charli D'Amelio,10649.060639029287,2.3654716776097593,15
31,12,Teresa Giudice,536.0179358022142,-0.6235876639011435,1
31,13,Vinny Guadagnino,1873.76680016406,0.6279507287118293,9
31,14,Shangela,1186.0597181587918,0.1706366441394462,12
31,15,Gabby Windey,2313.1878547438923,0.8386265891272944,14
32,0,Jamie Lynn Spears,29.455649712247247,-3.524869545154096,1
32,1,Mira Sorvino,1228.5746379540835,0.20585466779515127,4
32,2,Barry Williams,518.1113568045566,-0.6575650839939882,7
32,3,Alyson Hannigan,815.7737667639901,-0.20361820776452735,9
32,4,Xochitl Gomez,83215.7709235748,4.4214368855401,13
32,5,Adrian Peterson,112.08632269667821,-2.1884859648839217,3
32,6,Matt Walsh,287.8493998623812,-1.2453178514533452,0
32,7,Tyson Beckford,56.46006796825631,-2.8742216510210543,2
32,8,Jason Mraz,21283.43858214303,3.057929240232517,12
32,9,Lele Pons,515.0896887847997,-0.6634142391948701,6
32,10,Harry Jowsey,7307.5515139273475,1.9889082687444044,8
32,11,Mauricio Umansky,490.8172942018827,-0.7116833286998214,5
32,12,Charity Lawson,6525.602573503166,1.8757332986807145,10
32,13,Ariana Madix,1680.8733505659486,0.5193135111727307,11
33,0,Tori Spelling,227.70343739459668,-1.4823045820443472,0
33,1,Eric Roberts,38.99997365660373,-3.2594333321580375,3
33,2,Reginald VelJohnson,22.120264430437132,-3.838287394518618,2
33,3,Chandler Kinney,7131.7340149365655,1.9644720213723867,10
33,4,Dwight Howard ,1853.2859213533307,0.6166422505504435,7
33,5,Danny Amendola,2993.326241241406,1.0961884819494425,8
33,6,Stephen Nedoroscik,17102.916181143253,2.8392148231330694,9
33,7,Ilona Maher,14178.878882337747,2.651712179578921,11
33,8,Anna Delvey,12.930749364543763,-4.394834312592018,1
33,9,Brooks Nader,189.27298108792795,-1.667685787097398,4
33,10,Phaedra Parks,1083.5065012201715,0.07965834877462527,5
33,11,Jenn Tran,17604.488179471307,2.868120699594846,6
33,12,Joey Graziadei,12510.689334863115,2.526536603456688,12
34,0,Corey Feldman,2.943190693724729,-5.828260603982264,0
34,1,Danielle Fishel,925.2682245073191,-0.07767119890864027,6
34,2,Elaine Hendrix,7059.275550406227,1.954342845137751,9
34,3,Baron Davis,2.2128303494087906,-6.113482469606029,1
34,4,Jordan Chiles,24612.700773607165,3.203263013470316,11
34,5,Andy Richter,695.641509029516,-0.3629204124223476,7
34,6,Robert Irwin,41802.25413648834,3.732950676941574,13
34,7,Hilaria Baldwin,1612.3893250508982,0.4777175438595171,3
34,8,Lauren Jauregui,8.745176277615043,-4.739252601028386,2
34,9,Scott Hoying,502.98498980629677,-0.6871945385124207,4
34,10,Alix Earle,37350.06928019798,3.620335178623227,12
34,11,Jen Affleck,10731.603343852545,2.373193383901935,5
34,12,Whitney Leavitt,3954.280587251536,1.3747990972713615,8
34,13,Dylan Efron,2921.7410047305566,1.072180085254399,10
