method,mean_tau,std_tau,median_tau,min_tau,max_tau,positive_count,total_seasons,perfect_match_count
bayesian,0.8651320901320901,0.07073931555793699,0.8787878787878787,0.6363636363636364,1.0,34,34,2
mle,0.7671506597977186,0.17171870941456582,0.8484848484848484,0.30769230769230765,0.9696969696969696,34,34,0
two_stage,0.7405186316951022,0.08103600570024522,0.7384615384615383,0.5111111111111111,0.911111111111111,34,34,0
regression,0.7405186316951022,0.08103600570024522,0.7384615384615383,0.5111111111111111,0.911111111111111,34,34,0
