celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status,Unnamed: 8
Dorothy Hamill,16,2013,Dorothy Hamill,https://en.wikipedia.org/wiki/Dorothy_Hamill,0,391,Success,
Victor Ortiz,16,2013,Victor Ortiz,https://en.wikipedia.org/wiki/Victor_Ortiz,0,993,Success,
Alexandra Raisman,16,2013,Aly_Raisman,https://en.wikipedia.org/wiki/Aly_Raisman,0,837,Success,
Jacoby Jones,16,2013,Jacoby Jones,https://en.wikipedia.org/wiki/Jacoby_Jones,0,457,Success,
D. L. Hughley,16,2013,D. L. Hughley,https://en.wikipedia.org/wiki/D._L._Hughley,0,587,Success,
Andy Dick,16,2013,Andy Dick,https://en.wikipedia.org/wiki/Andy_Dick,0,2355,Success,
Wynonna Judd,16,2013,Wynonna Judd,https://en.wikipedia.org/wiki/Wynonna_Judd,0,743,Success,
Kellie Pickler,16,2013,Kellie Pickler,https://en.wikipedia.org/wiki/Kellie_Pickler,0,3532,Success,
Lisa Vanderpump,16,2013,Lisa Vanderpump,https://en.wikipedia.org/wiki/Lisa_Vanderpump,0,102,Success,
Sean Lowe,16,2013,Sean_Lowe_(television_personality),https://en.wikipedia.org/wiki/Sean_Lowe_(television_personality),0,0,Success,？
Valerie Harper,17,2013,Valerie Harper,https://en.wikipedia.org/wiki/Valerie_Harper,0,581,Success,
Brant Daugherty,17,2013,Brant Daugherty,https://en.wikipedia.org/wiki/Brant_Daugherty,0,199,Success,
Elizabeth Berkley Lauren,17,2013,Elizabeth Berkley,https://en.wikipedia.org/wiki/Elizabeth_Berkley,0,1019,Success,
Leah Remini,17,2013,Leah Remini,https://en.wikipedia.org/wiki/Leah_Remini,0,1459,Success,
Corbin Bleu,17,2013,Corbin Bleu,https://en.wikipedia.org/wiki/Corbin_Bleu,0,5967,Success,
Amber Riley,17,2013,Amber Riley,https://en.wikipedia.org/wiki/Amber_Riley,0,519,Success,
Keyshawn Johnson,17,2013,Keyshawn Johnson,https://en.wikipedia.org/wiki/Keyshawn_Johnson,0,720,Success,
Bill Engvall,17,2013,Bill Engvall,https://en.wikipedia.org/wiki/Bill_Engvall,0,676,Success,
Christina Milian,17,2013,Christina Milian,https://en.wikipedia.org/wiki/Christina_Milian,0,4663,Success,
"Nicole ""Snooki"" Polizzi",17,2013,Snooki,https://en.wikipedia.org/wiki/Snooki,0,1514,Success,
Jack Osbourne,17,2013,Jack Osbourne,https://en.wikipedia.org/wiki/Jack_Osbourne,0,787,Success,
Bill Nye,17,2013,Bill Nye,https://en.wikipedia.org/wiki/Bill_Nye,0,3841,Success,
Billy Dee Williams,18,2014,Billy Dee Williams,https://en.wikipedia.org/wiki/Billy_Dee_Williams,0,1103,Success,
Danica McKellar,18,2014,Danica McKellar,https://en.wikipedia.org/wiki/Danica_McKellar,0,998,Success,
James Maslow,18,2014,James Maslow,https://en.wikipedia.org/wiki/James_Maslow,0,2337,Success,
Candace Cameron Bure,18,2014,Candace Cameron Bure,https://en.wikipedia.org/wiki/Candace_Cameron_Bure,0,1335,Success,
Sean Avery,18,2014,Sean Avery,https://en.wikipedia.org/wiki/Sean_Avery,0,3080,Success,
Diana Nyad,18,2014,Diana Nyad,https://en.wikipedia.org/wiki/Diana_Nyad,0,663,Success,
Charlie White,18,2014,Charlie White (figure skater),https://en.wikipedia.org/wiki/Charlie_White_(figure_skater),0,853,Success,
Amy Purdy,18,2014,Amy Purdy,https://en.wikipedia.org/wiki/Amy_Purdy,0,254,Success,
Meryl Davis,18,2014,Meryl Davis,https://en.wikipedia.org/wiki/Meryl_Davis,0,1020,Success,
Drew Carey,18,2014,Drew Carey,https://en.wikipedia.org/wiki/Drew_Carey,0,2528,Success,
Cody Simpson,18,2014,Cody Simpson,https://en.wikipedia.org/wiki/Cody_Simpson,0,1777,Success,
NeNe Leakes,18,2014,NeNe Leakes,https://en.wikipedia.org/wiki/NeNe_Leakes,0,707,Success,
Antonio Sabato Jr.,19,2014,Virginia Madsen,https://en.wikipedia.org/wiki/Virginia_Madsen,0,739,Success,
Jonathan Bennett,19,2014,Jonathan Bennett (actor),https://en.wikipedia.org/wiki/Jonathan_Bennett_(actor),0,682,Success,
Lea Thompson,19,2014,Lea Thompson,https://en.wikipedia.org/wiki/Lea_Thompson,0,655,Success,
Janel Parrish,19,2014,Janel Parrish,https://en.wikipedia.org/wiki/Janel_Parrish,0,686,Success,
Alfonso Ribeiro,19,2014,Alfonso Ribeiro,https://en.wikipedia.org/wiki/Alfonso_Ribeiro,0,1740,Success,
Lolo Jones,19,2014,Lolo Jones,https://en.wikipedia.org/wiki/Lolo_Jones,0,787,Success,
Randy Couture,19,2014,Randy Couture,https://en.wikipedia.org/wiki/Randy_Couture,0,4245,Success,
Tommy Chong,19,2014,Tommy Chong,https://en.wikipedia.org/wiki/Tommy_Chong,0,1246,Success,
Betsey Johnson,19,2014,Betsey Johnson,https://en.wikipedia.org/wiki/Betsey_Johnson,0,436,Success,
Michael Waltrip,19,2014,Michael Waltrip,https://en.wikipedia.org/wiki/Michael_Waltrip,0,1190,Success,
Tavis Smiley,19,2014,Tavis Smiley,https://en.wikipedia.org/wiki/Tavis_Smiley,0,586,Success,
Bethany Mota,19,2014,Bethany Mota,https://en.wikipedia.org/wiki/Bethany_Mota,0,412,Success,
Sadie Robertson,19,2014,Sadie Robertson,https://en.wikipedia.org/wiki/Sadie_Robertson,0,211,Success,
Suzanne Somers,20,2015,Suzanne Somers,https://en.wikipedia.org/wiki/Suzanne_Somers,235691,904,Success,
Willow Shields,20,2015,Willow Shields,https://en.wikipedia.org/wiki/Willow_Shields,234385,567,Success,
Riker Lynch,20,2015,Riker Lynch,https://en.wikipedia.org/wiki/Riker_Lynch,159374,684,Success,
Rumer Willis,20,2015,Rumer Willis,https://en.wikipedia.org/wiki/Rumer_Willis,439034,877,Success,
Nastia Liukin,20,2015,Nastia Liukin Cup,https://en.wikipedia.org/wiki/Nastia_Liukin_Cup,3461,47,Success,
Michael Sam,20,2015,Michael Sam,https://en.wikipedia.org/wiki/Michael_Sam,317811,611,Success,
Robert Herjavec,20,2015,Robert Herjavec,https://en.wikipedia.org/wiki/Robert_Herjavec,553249,491,Success,
Charlotte McKinney,20,2015,Charlotte McKinney,https://en.wikipedia.org/wiki/Charlotte_McKinney,493035,190,Success,
Noah Galloway,20,2015,Noah Galloway,https://en.wikipedia.org/wiki/Noah_Galloway,94003,166,Success,
Redfoo,20,2015,Redfoo,https://en.wikipedia.org/wiki/Redfoo,436746,978,Success,
Patti LaBelle,20,2015,Patti LaBelle,https://en.wikipedia.org/wiki/Patti_LaBelle,324013,2450,Success,
Chris Soules,20,2015,Chris Soules,https://en.wikipedia.org/wiki/Chris_Soules,99152,65,Success,
Gary Busey,21,2015,Gary Busey,https://en.wikipedia.org/wiki/Gary_Busey,1365004,2819,Success,
Alexa PenaVega,21,2015,Alexa PenaVega,https://en.wikipedia.org/wiki/Alexa_PenaVega,233251,2125,Success,
Carlos PenaVega,21,2015,Carlos PenaVega,https://en.wikipedia.org/wiki/Carlos_PenaVega,97826,1942,Success,
Victor Espinoza,21,2015,Victor Espinoza,https://en.wikipedia.org/wiki/Victor_Espinoza,189012,241,Success,
Alek Skarlatos,21,2015,Alek Skarlatos,https://en.wikipedia.org/wiki/Alek_Skarlatos,520847,150,Success,
