season,week,celebrity_name,v_predicted_share,judge_avg_score,mu_base,sigma,sampled_val
1,Week_1,John O'Hurley,0.14349088265915386,6.666666666666667,-0.004098135074187279,0.2693806119069614,-0.12039473424732182
1,Week_1,Kelly Monaco,0.1038909800394554,4.333333333333333,-0.01418209853350641,0.3080982650682253,-0.4433241514803359
1,Week_1,Evander Holyfield,0.1878850823121666,6.0,0.012577265815270166,0.43838213321059066,0.14916427968252205
1,Week_1,Rachel Hunter,0.15706891040139492,6.666666666666667,-0.028409039521141963,0.11881963689346922,-0.02998160314693685
1,Week_1,Joey McIntyre,0.2238780346046556,6.666666666666667,-0.011168892532405985,0.23149774909930237,0.3244351832430892
1,Week_1,Trista Sutter,0.18378610998317363,6.0,0.01751915354280481,0.36755406224545173,0.127106403749003
1,Week_2,John O'Hurley,0.1462296851812837,8.666666666666666,-0.004098135074187279,0.2693806119069614,-0.22765603637251855
1,Week_2,Kelly Monaco,0.11070608838482436,5.666666666666667,-0.01418209853350641,0.3080982650682253,-0.5059557709311943
1,Week_2,Evander Holyfield,0.24330895198736083,4.666666666666667,0.012577265815270166,0.43838213321059066,0.28149743504905755
1,Week_2,Rachel Hunter,0.1718614783628187,8.0,-0.028409039521141963,0.11881963689346922,-0.06614581411048483
1,Week_2,Joey McIntyre,0.1784905497081368,7.0,-0.011168892532405985,0.23149774909930237,-0.028298951086352747
1,Week_2,Trista Sutter,0.14940324637557556,6.333333333333333,0.01751915354280481,0.36755406224545173,-0.2061856062088081
1,Week_3,John O'Hurley,0.10989107919605186,8.0,-0.004098135074187279,0.2693806119069614,-0.5428251505580061
1,Week_3,Kelly Monaco,0.24664748222025665,7.0,-0.01418209853350641,0.3080982650682253,0.2656452830602385
1,Week_3,Evander Holyfield,0.23665937583485827,4.333333333333333,0.012577265815270166,0.43838213321059066,0.22430703789863318
1,Week_3,Rachel Hunter,0.188720920767714,8.666666666666666,-0.028409039521141963,0.11881963689346922,-0.0020455225599744983
1,Week_3,Joey McIntyre,0.21808114198111922,7.333333333333333,-0.011168892532405985,0.23149774909930237,0.14255236779584413
1,Week_4,John O'Hurley,0.15713646986203664,7.0,-0.004098135074187279,0.2693806119069614,-0.33969433587654363
1,Week_4,Kelly Monaco,0.39910922489065714,8.666666666666666,-0.01418209853350641,0.3080982650682253,0.5924261275721135
1,Week_4,Rachel Hunter,0.20654911087356329,8.333333333333334,-0.028409039521141963,0.11881963689346922,-0.06627078927034573
1,Week_4,Joey McIntyre,0.23720519437374296,6.666666666666667,-0.011168892532405985,0.23149774909930237,0.07211656714354957
1,Week_5,John O'Hurley,0.39267001772760335,9.0,-0.004098135074187279,0.2693806119069614,0.19690587502630855
1,Week_5,Kelly Monaco,0.13732594819491797,7.833333333333333,-0.01418209853350641,0.3080982650682253,-0.8537064506359914
1,Week_5,Joey McIntyre,0.47000403407747876,7.5,-0.011168892532405985,0.23149774909930237,0.3766775432190986
1,Week_6,John O'Hurley,0.633849371585453,9.0,-0.004098135074187279,0.2693806119069614,0.011049864321914328
1,Week_6,Kelly Monaco,0.3661506284145471,9.166666666666666,-0.01418209853350641,0.3080982650682253,-0.5377166758557775
2,Week_1,Tatum O'Neal,0.08021674476127032,7.666666666666667,-0.007957504016270866,0.28356866493918625,-0.11042705228505846
2,Week_1,Tia Carrere,0.19537835681534554,6.666666666666667,-0.009415223000629325,0.28910847331297634,0.7797786370791123
2,Week_1,George Hamilton,0.08482517640224059,6.0,0.0035408922976824385,0.24328271115984845,-0.054566942641309554
